level_0,patient1,patient2,patient3,patient4
CDK3,0,0,0,0
EVPL,199,335,216,359
TEN1-CDK3,11,6,13,19
TEN1,0,0,0,0
EXOC7,4340,4220,5535,6530
ZACN,0,0,0,0
GALR2,0,0,2,4
MIR6868,0,0,0,0
FOXJ1,530,382,837,935
RNF157-AS1,463,338,603,545
UBALD2,596,558,716,1217
QRICH2,96,60,72,67
SPHK1,207,177,247,826
SNHG16,1030,1567,1339,2126
CYGB,314,46,367,504
PRCD,6,2,2,2
RHBDF2,529,595,423,1217
SNORD1B,0,0,0,0
SNORD1A,0,0,0,1
AANAT,2,1,6,3
SNORD1C,0,0,0,0
ST6GALNAC1,30,34,68,96
MXRA7,19025,16970,16294,14901
SRSF2,4539,3933,6685,6623
MFSD11,1332,1857,1892,2124
METTL23,1166,1542,1232,1471
MIR636,0,1,3,2
LOC101928514,1,0,0,0
MGAT5B,68,15,85,102
SCARNA16,0,0,0,2
SNHG20,104,124,102,136
MIR6516,0,0,0,0
MIR4316,0,0,0,0
LOC100507351,0,0,0,0
LOC100132174,0,0,2,0
FLJ45079,0,0,0,2
TMC6,384,1145,269,1481
TMC8,13,14,12,28
TNRC6C-AS1,92,315,90,231
AFMID,196,570,204,454
TMEM235,0,0,0,0
TK1,50,334,74,196
SYNGR2,4145,4932,3458,7795
BIRC5,27,152,24,72
LOC100996291,0,0,0,0
SOCS3,192,145,308,1197
LOC101928674,0,0,0,10
DNAH17-AS1,0,0,0,0
LOC101928710,0,0,0,0
LOC100653515,1,6,5,2
TIMP2,29757,32923,29390,39239
C1QTNF1-AS1,0,2,0,2
CANT1,2032,2223,2238,3654
C1QTNF1,153,198,88,346
LGALS3BP,10172,17587,16280,26751
ENGASE,547,825,681,912
HP09025,0,0,0,1
ENPP7,0,0,0,0
MIR4739,0,0,0,0
CBX2,55,112,73,213
CBX8,209,258,338,297
CBX4,780,854,1045,968
LOC101928738,2,3,0,0
LOC101928766,1,10,12,10
GAA,8906,7849,7809,12869
CCDC40,129,130,136,299
SGSH,886,1203,892,1607
SLC26A11,1283,1174,1418,1689
CARD14,64,29,43,78
ENDOV,384,297,349,454
NPTX1,25,20,26,24
MIR4730,0,1,0,0
LOC101928855,0,0,0,0
CHMP6,599,797,845,1113
BAIAP2-AS1,1654,1681,2399,1871
MIR338,0,0,0,0
AATK,1415,1091,1652,1510
MIR3065,0,0,0,0
MIR657,0,0,0,0
AATK-AS1,14,1,11,8
MIR1250,0,0,2,3
SLC38A10,8114,10112,7619,16905
ENTHD2,252,278,329,539
LINC00482,14,24,0,12
C17orf89,577,864,782,991
MIR4740,5,3,0,1
MIR3186,1,0,0,0
LOC100130370,2,1,2,3
ACTG1,55867,61436,52474,159692
C17orf70,908,993,1187,1532
FSCN2,13,89,42,40
HGS,2795,3282,3491,4682
TSPAN10,5,64,18,76
MRPL12,1279,1848,1310,2173
SLC25A10,917,1335,1263,1514
CCDC137,640,676,645,1050
PDE6G,4,8,2,4
ARL16,1238,1646,1819,1617
OXLD1,328,409,308,490
MIR6786,7,14,25,23
FAM195B,2329,1998,2774,2935
GCGR,440,641,1736,1562
P4HB,32894,54524,39182,69428
PPP1R27,0,0,6,2
PCYT2,1269,1291,1412,2070
PYCR1,2405,2569,1858,2415
ANAPC11,2308,2326,2223,3397
SIRT7,632,594,678,851
MYADML2,10,14,10,3
MAFG,4308,2453,4766,4144
ARHGDIA,7708,6665,8356,13077
NOTUM,17,29,8,30
ALYREF,682,1000,937,1502
NPB,30,19,29,15
MAFG-AS1,159,166,164,199
RAC3,766,548,652,547
RFNG,1152,1421,1442,1566
GPS1,2598,3097,3210,3923
LRRC45,281,418,199,416
STRA13,399,730,390,983
DUS1L,1817,2550,2124,3053
FASN,13087,9834,11375,11057
DCXR,2607,1668,2323,2074
SLC16A3,306,150,302,1494
MIR6787,5,0,1,16
SECTM1,81,328,62,254
CD7,3,0,0,22
UTS2R,2,6,2,2
TEX19,0,2,0,2
C17orf62,1113,1268,1060,2070
NARF,1091,1346,1329,2434
HEXDC,669,668,854,899
WDR45B,5669,7065,7414,9137
RAB40B,502,569,757,729
FN3K,1244,998,1451,1420
FN3KRP,940,1026,1234,1338
ZNF750,1,0,25,4
METRNL,255,620,160,886
FLJ43681,1,2,4,0
DOK6,474,104,453,112
C18orf21,372,445,544,575
PTPRM,3086,3617,3526,5710
DCC,162,8,29,83
LOC101927921,0,0,0,0
MYOM1,3693,2039,853,2076
DLGAP1,14,6,12,2
L3MBTL4,270,363,299,474
LINC00667,1945,2044,1867,2305
LDLRAD4,1148,1339,1544,1584
SPIRE1,6802,5031,7503,4898
APCDD1,505,1870,884,2807
IMPACT,2985,4034,3323,3199
KCTD1,532,570,634,806
TMEM241,212,307,203,404
GREB1L,12,17,10,8
NOL4,4402,4538,5163,4363
LINC00907,46,25,47,32
KIAA1328,243,271,447,380
CTIF,1912,1985,1662,2129
MAPK4,538,591,532,1141
SLC14A2,4,14,1,16
RNF165,17,10,26,8
WDR7,4194,4094,3974,3595
ZNF532,737,778,1125,1431
PIGN,1956,2138,2110,3071
BCL2,139,332,231,360
LOC284294,0,0,0,0
LOC100505776,0,0,0,0
ZNF407,1113,1208,1576,1407
COLEC12,50,119,12,120
THOC1,554,519,680,908
YES1,2758,3393,4504,3943
TYMSOS,0,16,4,7
LINC00470,1,21,7,12
EMILIN2,159,150,194,228
SMCHD1,3334,3254,4413,3298
MYL12B,12533,20960,13368,30177
EPB41L3,9489,6711,9560,7576
LOC645355,0,0,0,0
C18orf64+LINC01387,0,0,0,0
LAMA1,79,269,134,254
ANKRD12,4799,4677,6795,4920
MTCL1,550,825,664,920
RAB31,1755,2496,2557,3278
PPP4R1,3198,3393,4013,4994
PIEZO2,198,222,238,200
TUBB6,341,552,588,2739
GNAL,722,240,314,300
PTPN2,931,1294,1506,1655
SEH1L,1875,2387,2696,2753
PSMG2,1560,1930,2351,2922
CEP192,906,1244,1343,1367
RNMT,2467,2714,3592,3886
MC2R,0,0,0,0
ANKRD30B,31,1,16,7
ROCK1,3644,3262,4722,4418
ESCO1,1446,1540,1834,1613
ABHD3,2481,3477,2227,3597
MIB1,5078,4530,6374,5650
RBBP8,2022,2762,2688,3349
LOC101927571,3,13,0,12
LAMA3,525,829,320,1764
ANKRD29,39,56,125,69
OSBPL1A,663,787,576,812
TTC39C,725,1254,880,1275
C18orf8,1700,1341,1830,2051
ZNF521,58,22,66,93
PSMA8,0,2,0,0
TAF4B,59,63,65,169
CHST9,3441,3792,4511,3986
AQP4-AS1,2,11,10,9
CDH2,1915,1681,746,1517
DSG4,0,0,0,0
DSG2,7301,8632,7048,14466
DSC3,14,2,127,27
B4GALT6,2113,1644,2099,1980
LOC101927718,0,0,0,0
LOC101927698,0,1,0,0
KLHL14,35,24,17,50
GAREM,1220,1423,1240,2053
TRAPPC8,3674,3864,4861,4108
RNF125,102,97,109,164
CCDC178,50,61,32,50
ASXL3,1450,538,928,1440
DTNA,2153,2259,2395,2969
MAPRE2,6746,6377,8229,7276
MOCOS,38,150,30,248
FHOD3,315,350,668,388
CELF4,2405,1903,2808,2041
LINC00669,10,8,2,8
PIK3C3,1342,1249,1707,2077
RIT2,0,0,0,1
SETBP1,1832,2633,2833,2110
C18orf25,1910,1611,2331,1913
EPG5,3313,2887,3618,4569
PSTPIP2,69,195,80,342
KATNAL2,41,101,35,71
PIAS2,1235,1142,1494,1589
LOXHD1,6,0,0,0
IER3IP1,4971,5827,6152,6061
ST8SIA5,97,167,116,124
ZBTB7C,102,126,152,178
DYM,1480,2051,1501,2032
ACAA2,5322,7300,6109,8613
MYO5B,3992,6240,5022,8944
ELAC1,534,821,641,729
LOC100287225,0,0,0,0
LOC102724651,0,0,0,0
C18orf54,66,38,66,89
TCF4,1654,1668,2163,1870
RAB27B,410,1470,593,963
ATP8B1,1230,3496,1066,4527
LOC100505549,74,129,70,141
NEDD4L,2020,3210,2461,4335
MALT1,788,886,1033,1028
ALPK2,12,1,10,34
LMAN1,12564,17727,17031,20326
CCBE1,89,31,28,52
RNF152,130,98,99,79
PHLPP1,825,924,686,1167
KIAA1468,1546,1787,2578,2312
TNFRSF11A,1412,2143,1493,2104
VPS4B,3039,3532,4243,3985
CDH7,0,0,0,0
CDH19,39,50,123,144
LOC643542,0,0,0,0
CCDC102B,148,58,269,146
RTTN,488,407,703,628
NETO1,0,0,0,2
LOC400655,0,0,2,0
CYB5A,2940,5648,2405,4737
CNDP1,0,0,6,1
SMIM21,0,0,0,0
ZNF516,3247,2621,3972,4242
MBP,5826,4855,8359,6296
GALR1,11,2,43,7
ZNF236,1004,1202,1281,1077
ATP9B,1063,1216,1518,1695
NFATC1,67,167,73,209
CTDP1,1116,1178,1090,1415
HSBP1L1,431,541,326,626
PARD6G,68,84,105,84
ROCK1P1,33,30,76,86
MIR8078,0,0,0,0
LOC102723376,0,0,0,0
USP14,4149,4344,4896,5913
CETN1,0,0,0,0
CLUL1,290,272,251,241
TYMS,48,78,26,70
ENOSF1,944,1418,1173,1512
ADCYAP1,9763,19369,23068,11650
NDC80,36,116,25,42
METTL4,648,708,625,829
CBX3P2,31,39,23,23
LOC727896,178,123,146,153
LPIN2,3769,4212,4620,5137
MYL12A,6415,13929,5689,16466
TGIF1,389,829,309,1209
LOC100505592,0,2,10,5
DLGAP1-AS2,12,6,10,30
DLGAP1-AS1,23,32,15,236
MIR6718,0,0,0,0
DLGAP1-AS3,0,0,0,0
DLGAP1-AS4,0,0,0,0
DLGAP1-AS5,0,0,0,0
C18orf42,1051,883,498,833
LINC00526,290,297,266,539
ZBTB14,1034,1132,1479,1340
MIR3976,0,0,0,0
TMEM200C,24,8,29,21
LOC101927150,2,0,0,0
MIR4317,0,0,0,0
ARHGAP28,103,277,71,135
LINC00668,0,2,0,0
LRRC30,0,0,0,0
LOC100192426,6,4,8,11
RAB12,4269,4293,6592,4746
MTCL1-AS1,6,25,4,9
NDUFV2,2382,3188,3057,4179
LOC101927275,32,52,43,32
TWSG1,2389,2139,1927,2429
RALBP1,3641,4076,4491,4822
LOC101927323,7,1,12,3
VAPA,9808,10981,13351,13478
TXNDC2,1,0,0,0
LINC01254,0,0,0,0
NAPG,3039,5475,3156,3857
LOC101927410,0,0,0,0
LINC01255,0,0,0,0
SLC35G4P,0,0,0,0
MIR7153,0,0,0,0
MPPE1,559,793,883,1077
CHMP1B,5456,5797,6708,7326
IMPA2,1576,4619,1730,3539
ANKRD62,0,5,1,0
CIDEA,0,0,0,0
C18orf61,0,0,0,0
SLMO1,63,53,74,62
AFG3L2,3550,3903,4383,4875
CEP76,371,463,482,458
LOC100996324,0,0,0,0
MIR5190,0,0,0,0
LDLRAD4-AS1,0,5,0,0
MIR4526,0,0,0,0
FAM210A,661,781,789,896
MC5R,0,0,0,0
ZNF519,60,111,136,108
ANKRD20A5P,3,13,7,14
CYP4F35P,0,5,0,6
CXADRP3,5,7,0,2
POTEC,0,0,0,0
MIR3156-2,0,0,0,0
LINC01443,0,0,0,0
LINC01444,0,0,0,0
LOC644669,0,0,0,0
MIR320C1,0,0,0,0
SNRPD1,2034,2442,2599,2958
MIR133A1,0,0,0,0
MIR1-2,0,0,0,0
MIR133A1HG,2,0,12,0
GATA6-AS1,165,196,113,232
GATA6,1499,1743,1406,2201
CTAGE1,96,112,113,154
MIR4741,0,0,0,0
CABLES1,631,757,1088,705
RIOK3,3194,3263,4359,4660
NPC1,2341,1880,2288,3288
LOC102724246,0,1,2,6
CABYR,35,24,9,46
MIR320C2,0,0,0,0
HRH4,4,0,0,2
LOC729950,120,20,15,43
SS18,5737,6351,8088,8056
LOC100506787,0,0,0,0
MIR8057,0,1,0,0
PCAT18,3,12,2,4
AQP4,400,317,742,505
MIR302F,0,0,0,0
DSC2,2119,2422,1363,3644
DSC1,0,4,4,0
DSG1,0,0,0,1
DSG3,0,2,4,25
TTR,543030,193038,545640,579417
LOC100652770,6,9,9,14
SLC25A52,1,4,4,5
RNF138,1238,1267,1869,1567
MEP1B,53,30,230,345
WBP11P1,75,72,73,85
ZNF271,2267,2559,2673,2471
ZNF397,1058,882,1132,1199
ZSCAN30,1341,1463,1782,1519
ZNF24,8693,8481,11490,8413
ZNF396,177,203,255,300
INO80C,451,428,538,729
GALNT1,3108,3810,4845,5398
MIR3975,0,0,0,0
MIR187,0,0,0,2
RPRD1A,5406,6004,7006,5810
ELP2,2760,3125,3339,3612
SLC39A6,9919,11339,10176,9914
TPGS2,1516,2108,1404,2946
MIR4318,0,0,0,0
MIR5583-2,0,0,0,0
MIR5583-1,0,0,0,0
LOC101927900,0,0,0,0
KC6,3,38,4,39
SYT4,10892,10898,10801,10770
MIR4319,0,0,0,0
FLJ44087,0,6,8,8
SLC14A1,152,38,77,190
SIGLEC15,48,26,65,95
HAUS1,429,542,358,604
ATP5A1,24399,32469,27974,36723
TCEB3B,3,0,0,0
TCEB3CL2,0,0,0,0
TCEB3C+TCEB3CL+TCEB3CL2,0,0,0,0
TCEB3CL,0,0,0,0
TCEB3C,0,0,0,0
HDHD2,2985,3264,3975,3904
SKOR2,0,0,0,0
SMAD2,4708,5407,6390,6588
MIR4743,4,0,0,1
SMAD7,1525,1743,2440,1769
MIR4744,0,0,0,0
MIR1539,0,0,0,1
RPL17,734,927,1136,1167
C18orf32,235,226,230,196
SNORD58C,2,11,6,18
RPL17-C18orf32,0,0,0,0
SNORD58B,0,0,0,0
SNORD58A,1,3,4,2
LIPG,1282,275,835,962
SNHG22,3,6,4,0
SCARNA17,5,2,12,4
MIR4320,0,0,0,0
MBD1,2660,2714,3441,3595
CXXC1,1804,2076,1838,2279
CCDC11,74,155,77,138
SKA1,11,60,57,20
MRO,94,209,95,31
ME2,2702,3535,4363,3525
SMAD4,5596,4986,6671,6813
MEX3C,2205,1864,2508,2626
LOC101928167,0,0,0,0
MBD2,2018,2702,2563,3686
SNORA37,0,0,0,0
STARD6,0,0,6,0
POLI,1468,1504,1919,1555
DYNAP,0,0,0,0
CCDC68,108,277,112,232
LOC101927229,4,0,4,14
MIR4529,0,0,0,0
LOC101927273,0,0,0,0
LOC100505474,0,0,0,0
TXNL1,3703,4066,4772,4987
LINC-ROR,0,0,0,0
BOD1L2,3,4,3,4
ST8SIA3,7226,9124,8775,10321
ONECUT2,1223,1637,1087,3084
FECH,1232,1529,1731,1753
NARS,11859,11028,14809,14290
MIR3591,0,0,0,0
MIR122,0,0,0,0
LOC101927322,0,2,8,4
OACYLP,1,0,0,1
SEC11C,11147,12873,15000,21918
CPLX4,0,0,0,0
GRP,4,16,14,14
RAX,0,2,0,2
PMAIP1,198,267,141,705
MC4R,0,0,0,0
CDH20,43,15,20,49
LOC100996669,0,0,0,0
ZCCHC2,1080,741,1211,1511
KDSR,2073,2613,2370,3155
SERPINB5,0,2,27,12
SERPINB13,0,0,0,2
SERPINB12,0,0,0,0
SERPINB4,0,0,8,140
SERPINB3,0,0,0,17
SERPINB7,16,18,2,1316
SERPINB11,0,0,0,0
SERPINB10,0,0,0,2
SERPINB2,1262,1403,463,3337
SERPINB8,359,480,526,1320
HMSD,0,7,3,12
LINC00305,0,0,0,0
LOC400654,0,0,0,0
MIR5011,0,0,0,0
DSEL,212,306,333,375
TMX3,2751,3380,3688,3678
CD226,11,9,10,9
SOCS6,2549,2309,4423,2868
LOC101060542,0,0,0,0
GTSCR1,0,0,0,0
CBLN2,0,0,2,0
LOC100505817,0,0,0,0
TIMM21,673,965,687,1121
FBXO15,120,114,99,140
C18orf63,0,0,0,0
CNDP2,5840,6508,6888,12724
FAM69C,0,0,0,18
LINC00909,908,997,1074,860
ZADH2,3403,3154,4218,3564
TSHZ1,5411,4355,7170,4405
LOC339298,0,0,0,0
FLJ44313,44,169,60,110
LINC00908,16,37,17,57
LOC101927651,7,9,12,15
LINC00683,33,101,53,94
LOC400661,2,0,0,10
LOC100131655,36,30,56,45
LINC01029,0,0,0,0
SALL3,0,0,0,0
PQLC1,1941,2237,2113,2536
KCNG2,19,33,17,10
RBFA,463,507,553,806
TXNL4A,2817,3874,3189,4505
RBFADN,16,19,11,10
PARD6G-AS1,36,65,23,48
ADNP2,1278,1247,1372,1469
ATP5SL,1801,1665,1776,2569
MED25,1713,1820,1934,2184
ZNF274,935,1059,1085,1286
TMEM38A,502,536,430,529
RHPN2,630,1429,680,1416
KANK3,133,105,176,110
PTPRS,2420,3216,3239,3188
ABCA7,1480,1841,1874,2288
GNA15,45,81,54,77
IZUMO4,35,22,51,80
ANKRD24,34,99,132,237
LOC100996351,2,0,0,2
ZNF559,868,908,999,1009
CYP4F8,0,0,10,0
TYK2,3023,2188,2576,4015
ZNF559-ZNF177,1,0,1,1
NDUFB7,2438,3206,2864,3924
ZNF709,456,401,613,497
CCDC151,196,161,148,245
ZNF506,987,1126,1351,1276
ZNF43,727,1057,913,906
CRTC1,1145,681,1239,1152
FXYD5,6103,1674,4575,6354
YIF1B,1143,1462,944,1834
SAMD4B,3766,4241,4996,5432
ZNF565,245,180,207,232
HIPK4,2,0,2,7
LOC101927667,11,30,110,29
EML2,3362,3447,4111,4801
PRKD2,1291,1002,1089,2001
EHD2,480,687,558,2161
LIPE-AS1,61,27,68,63
ZNF575,107,105,128,133
KLK2,0,0,0,0
RDH13,393,349,329,614
ZNF787,600,952,725,1309
ZNF702P,289,354,247,595
DUXA,0,0,0,0
KISS1R,70,32,77,208
RNF126,1051,1235,1554,1275
REXO1,910,846,1173,1346
CSNK1G2,2364,2564,2302,3330
DOT1L,1167,1297,1445,2182
TLE2,2687,2305,3573,3853
GNG7,1529,2450,2543,1666
PIP5K1C,1749,1939,2022,2291
NFIC,4044,6122,6967,8228
ZBTB7A,2395,2341,3102,2688
CELF5,50,24,77,46
MATK,9,4,22,35
UBXN6,5034,6419,5802,7818
KDM4B,1833,1568,2114,2102
PLIN3,2706,1670,3070,4004
DPP9,1508,1775,1995,2306
STAP2,887,1447,551,1047
SAFB,3784,3437,4615,5238
NDUFA11,2703,2773,2829,4073
RFX2,620,567,772,1075
ACSBG2,6,5,9,11
CATSPERD,0,0,4,2
VAV1,120,23,93,56
C3,4801,5448,2550,25325
ZNF557,544,522,524,634
INSR,2953,4602,3894,5640
KHSRP,3147,2891,3680,4219
ARHGEF18,2095,2498,2536,3936
PNPLA6,4762,4520,4340,7208
TIMM44,1541,1063,1604,1794
CCL25,0,0,0,0
ADAMTS10,111,88,89,417
HNRNPM,6790,8702,8098,11616
MUC16,7,2,295,2
PPAN-P2RY11,0,0,0,0
P2RY11,26,23,20,21
COL5A3,640,39,628,863
SMARCA4,5595,5612,7140,9128
SLC44A2,1378,2482,1701,3153
CARM1,2145,2361,2280,3269
DNM2,5215,5773,5610,8219
ZNF440,666,580,593,737
ZNF700,745,722,1049,976
ELOF1,1304,1306,1368,1690
ZNF833P,5,14,29,10
CACNA1A,2713,1477,2906,3118
MAST1,1094,736,760,764
NACC1,1983,2139,2067,2804
ZNF490,539,636,645,779
C19orf43,3535,3679,4254,5438
NFIX,575,854,942,1291
CC2D1A,1848,1937,1762,2739
LPHN1,3732,4181,4403,3845
IL27RA,124,177,106,363
PKN1,6281,6402,8444,8375
ZNF333,522,409,765,555
AKAP8,1320,1380,1605,1877
SLC1A6,0,0,0,0
EPS15L1,1206,1471,1598,1786
HSH2D,221,223,125,333
CHERP,1454,1372,1793,1920
CYP4F2,0,1,0,2
NWD1,232,371,268,682
HAUS8,176,152,116,214
DDA1,1017,1364,1254,1515
MYO9B,1380,1296,1236,2074
CPAMD8,4,5,63,16
KCNN1,10,0,5,6
JAK3,54,45,73,112
PDE4C,49,30,23,43
MAST3,1835,1376,1965,1804
ELL,844,633,902,1212
SUGP1,1121,1408,1439,1514
GDF1,0,0,0,0
MEF2BNB-MEF2B,0,0,0,0
MEF2B,1,0,0,0
GATAD2A,2639,2925,3129,3903
SUGP2,4406,4295,4803,4614
CERS1,0,0,0,0
ZNF626,890,879,1099,859
ZNF430,847,707,856,839
ZNF431,309,360,458,428
ZNF708,755,710,1031,869
ZNF99,0,9,6,7
ZNF208,203,275,144,182
ZNF675,481,635,675,487
RPSAP58,2306,3663,3134,5412
LOC101929164,0,0,0,0
ZNF254,1221,1426,1487,1585
LOC100420587,9,71,37,50
LOC284395,0,0,1,0
ZNF536,2,6,6,0
CEP89,271,459,448,589
DPY19L3,1663,1610,1646,2003
ANKRD27,1887,1615,2446,2618
PEPD,5290,5734,7090,6355
CHST8,703,931,1300,623
GPI,11504,11403,13569,20336
LINC00904,0,0,1,0
ZNF599,187,205,177,158
ATP4A,2,14,0,36
WDR62,48,57,26,86
ZNF345,206,210,273,259
ZNF566,814,728,1014,754
ZNF529,989,999,1268,1047
ZNF568,951,910,1181,755
ZFP14,1539,1203,1927,1192
ZNF420,744,607,1034,685
ZFP30,1024,953,1343,985
ZNF793,439,444,576,482
SIPA1L3,6405,5241,7944,8750
ZNF527,383,412,522,430
RYR1,18,38,64,21
ACTN4,12277,16836,12232,29049
FBXO17,1565,1028,3261,1873
ECH1,4988,5366,4908,8049
PAPL,56,17,70,85
AKT2,2881,3778,2994,4629
FCGBP,178,271,142,244
TIMM50,954,1083,1225,1634
HNRNPUL1,7015,7841,9363,10618
RAB4B-EGLN2,0,0,0,0
MIA-RAB4B,0,0,0,0
RAB4B,0,0,0,0
SPTBN4,3620,2624,3274,3486
MEGF8,4085,3482,4276,4548
ZNF526,651,544,726,880
POU2F2,22,30,81,52
CEACAM21,0,8,16,2
PSG11,0,2,0,2
TEX101,0,1,1,0
ZNF223,317,323,324,364
LYPD5,88,44,80,110
ZNF45,778,696,888,910
PLAUR,266,334,147,1481
PVRL2,3844,4280,2974,7719
PPP1R37,3217,2759,4350,4556
CLPTM1,6291,7288,6328,7858
IGFL2,10,30,4,8
PPP5D1,72,53,105,53
SIX5,238,347,215,478
MYPOP,421,328,539,486
RNU6-66P,0,0,0,0
SAE1,2873,2988,3428,4115
SLC8A2,2431,1787,2821,2425
ZC3H4,1444,1428,1675,2054
ARHGAP35,8858,8063,10596,8458
C5AR2,0,2,0,2
LIG1,834,817,974,1241
CARD8,931,767,712,1098
KDELR1,8274,10404,11230,12704
SEC1P,0,0,10,2
CPT1C,771,735,561,771
NOSIP,1212,1400,1245,1898
NUCB1,13061,9430,12170,22184
TRPM4,463,713,566,862
SLC6A16,18,22,32,25
SLC17A7,22,4,14,41
SIGLEC11,33,95,19,53
MYH14,14067,14511,23259,19626
KLK9,0,0,0,0
ZNF611,546,638,754,724
ZNF701,213,276,284,374
ZNF468,1244,1326,1263,1773
ZNF480,989,1088,1037,1474
ZNF534,3,17,22,11
PRKCG,66,28,131,152
ZNF677,137,88,138,86
ZNF525,563,450,664,1101
LILRB4,20,24,25,39
KIR3DX1,0,0,0,0
NLRP7,0,3,0,0
CNOT3,1729,1672,1949,2193
ISOC2,1081,1072,1154,1173
NLRP4,0,0,0,0
NLRP8,0,0,0,0
NLRP9,2,13,2,11
TMEM150B,0,0,0,2
PTPRH,1228,1679,806,2894
ZNF542P,1798,1134,1506,1092
LOC101929059,24,36,24,26
ZNF551,471,488,529,498
ZNF256,207,214,263,272
ZNF550,470,507,564,532
ZNF460,133,150,221,149
ZSCAN22,399,349,403,526
ZNF324,594,583,734,696
WASH5P,2,1,0,4
OR4F17,0,0,0,0
LINC01002,48,13,66,80
PPAP2C,498,1144,350,1910
THEG,2,4,0,0
MIER2,478,532,589,795
SHC2,2882,2634,2546,3985
C2CD4C,35,48,54,26
ODF3L2,0,5,6,6
MADCAM1,2,7,6,6
TPGS1,764,846,742,789
POLRMT,1446,1562,1600,2143
GZMM,0,0,2,5
FGF22,0,8,6,0
HCN2,1145,365,1179,608
BSG,32010,28076,28815,44244
CDC34,1764,1746,1788,3050
FSTL3,593,998,460,2917
PALM,820,288,896,452
MISP,1292,710,1927,1709
PRSS57,0,0,0,0
ELANE,1,0,1,0
PTBP1,7301,7687,8415,10157
LPPR3,12,0,4,5
R3HDM4,2463,2739,2975,4731
PRTN3,0,0,0,6
MIR3187,0,0,0,0
AZU1,0,0,0,0
MIR4745,0,0,0,0
MED16,2546,2353,2383,3219
CFD,56,37,50,97
ARID3A,686,472,1153,737
TMEM259,6691,6594,7662,8158
CNN2,216,565,221,1342
GRIN3B,337,121,296,89
WDR18,1392,981,1540,1650
HMHA1,316,196,254,211
SBNO2,1621,1476,1743,3419
GPX4,11454,10885,12752,18123
POLR2E,2399,2998,2877,4058
EFNA2,6,5,3,2
CIRBP,11714,12696,18639,16503
ATP5D,2247,2496,1999,3390
C19orf24,631,874,638,1189
CIRBP-AS1,47,54,43,55
MIDN,1697,1967,2168,4362
STK11,2597,2447,2686,3166
C19orf26,194,180,172,266
DAZAP1,2040,2610,2793,4001
NDUFS7,1737,1961,1801,2792
GAMT,2169,2883,2363,1771
RPS15,4490,4473,5397,7124
MUM1,1911,2119,1409,2275
MEX3D,813,828,901,1381
APC2,139,80,128,95
PCSK4,52,39,31,85
PLK5,2,0,0,4
REEP6,168,533,148,571
C19orf25,964,1152,890,1223
ADAMTSL5,8,6,4,17
MBD3,3740,3311,3545,4537
TCF3,1291,1585,1378,1385
UQCR11,3996,4615,4358,6323
MIR1909,2,0,0,2
LOC100288123,19,21,28,16
ATP8B3,7,36,14,84
ONECUT3,2,0,0,0
ABHD17A,662,578,634,818
ADAT3,133,175,164,167
KLF16,1316,1133,2181,1584
CSNK1G2-AS1,0,0,2,2
SCAMP4,2497,2436,2829,3205
MKNK2,2622,3513,4067,4990
MOB3A,1168,1074,1384,1809
BTBD2,2828,2847,2941,4016
AP3D1,10566,10114,12617,12884
SPPL2B,1369,1528,1610,2031
LSM7,1101,1392,1549,2120
AMH,7,16,34,30
LINGO3,4,0,2,4
C19orf35,2,4,6,7
SF3A2,792,777,1089,1438
PLEKHJ1,1163,1567,919,2026
JSRP1,328,367,462,853
OAZ1,25720,23363,25073,28089
MIR4321,0,1,0,0
MIR1227,1,0,0,0
MIR6789,1,0,1,2
GADD45B,488,607,646,1638
MIR7108,8,3,3,2
TIMM13,1515,1876,1884,2300
TMPRSS9,7,13,4,4
LMNB2,1824,1803,1970,2659
DIRAS1,1806,1682,1593,1617
SLC39A3,1342,1558,1407,1840
ZNF555,680,542,791,703
THOP1,1282,1315,1440,1720
SGTA,2396,2980,2864,3732
ZNF556,3,0,0,1
ZNF554,456,374,529,453
TLE6,194,193,184,301
ZNF77,203,271,272,294
ZNF57,230,272,246,372
AES,29150,29454,40823,36568
GNA11,6122,5469,8027,6133
NCLN,1699,2145,2120,3256
S1PR4,0,2,2,3
DOHH,589,627,723,835
SMIM24,1829,2242,3115,2639
FZR1,1960,1980,2240,2647
GIPC3,8,8,45,8
C19orf71,76,123,113,135
CACTIN,633,679,768,1043
MFSD12,1366,1775,1166,2337
HMG20B,1551,1778,1362,2306
TBXA2R,18,20,9,18
CACTIN-AS1,9,12,8,12
MRPL54,673,901,1490,1508
RAX2,0,2,3,2
APBA3,538,473,402,600
TJP3,519,697,372,1160
ZFR2,215,72,150,193
ATCAY,791,325,408,707
NMRK2,0,19,1,9
PIAS4,974,845,1338,1616
SNORD37,0,0,0,0
EEF2,92937,92352,120816,135287
DAPK3,2144,2388,1861,3552
MIR637,1,2,7,3
CREB3L3,0,19,11,125
SIRT6,476,668,529,841
MAP2K2,2715,2790,3292,3998
TMIGD2,0,0,2,0
CCDC94,568,871,835,964
FSD1,0,3,0,2
EBI3,2,0,3,13
SHD,0,0,0,0
CHAF1A,258,337,272,456
SH3GL1,1928,2003,2446,3491
MPND,525,637,589,1046
MIR4746,29,30,19,31
HDGFRP2,1569,1538,2036,2324
PLIN4,15,41,4,78
PLIN5,36,60,14,119
LRG1,357,907,140,1482
SEMA6B,310,70,312,209
DPP9-AS1,31,33,23,35
C19orf10,4148,5514,3309,6443
